region,pv,wind_onshore,wind_offshore,year
DED4,74.40740740740739,444.2222222222221,190.33333333333334,2002
DED5,0.0,489.6666666666667,1108.3333333333333,2002
DEE0,0.0,4269.999999999999,4602.0,2002
DEF0,,,,2002
DEG0,0.0,1830.0,2039.0,2002
DE11,15.527210884353744,568.4999999999999,840.5,2003
DE12,32.36363636363649,231.99999999999986,722.0,2003
DE13,4.645854657113614,134.66069600818832,633.0,2003
DE14,5.0475352112676015,91.79612676056344,435.7038732394365,2003
DE21,14.707189014539578,322.9821284329563,1281.4035743134089,2003
DE22,502.49999999999994,489.49999999999994,443.0,2003
DE23,4.0208639435791955,268.6732295033794,195.26535409932416,2003
DE24,1.4083333333333334,74.625,300.5,2003
DE25,5.890538033395177,354.57142857142844,311.8571428571429,2003
DE26,9.979797979797977,16.660202020202018,460.01010101010104,2003
